Minutes,Pourcentage
300,0
295,0
290,0
285,0
280,0
275,0
270,0
265,0
260,0
255,0
250,0
245,0
240,0
235,0
230,0
225,0
220,0
215,0
210,0
205,0
200,0
195,0
190,0
185,0
180,0
175,0
170,0.01
165,0.01
160,0.01
155,0.01
150,0.01
145,0.01
140,0.02
135,0.02
130,0.03
125,0.03
120,0.04
115,0.04
110,0.04
105,0.05
100,0.05
95,0.06
90,0.06
85,0.06
80,0.06
75,0.06
70,0.05
65,0.05
60,0.05
55,0.05
50,0.04
45,0.03
40,0.02
35,0.02
30,0.01
25,0
20,0
15,0
10,0
5,0
0,0
